"twitterId";"username";"created_at";"tweet";"retweet_count";"location";"place"
1;"CHNPostgres";"2020-02-08 23:36:56";"The latest The PostgreSQL Things! https://t.co/qj0SRB2aMQ Thanks to @akamaozu @testdrivenio @alguien_tw #postgresql #devops";0;"";""
2;"j4ckl3";"2020-02-08 23:37:01";"#DevOps When your code starts to learn.";0;"Someplace at any given time.";""
3;"Build5Nines";"2020-02-08 23:39:49";"Azure #CLI Kung-Fu Tips and Tricks
 #DevOps #AzureFamily
https://t.co/i4FXSz5BuC";0;"Cloud";""
4;"BlueTurbanStone";"2020-02-08 23:41:33";"#Hawaii  #hilo  #bilderberg #banksters #WW3 #War #peace #USA #rockstar #rap #metal #trap #hiphop #jazz  #rock #funk… https://t.co/eJBwEBT9lN";0;"Kailua-Kona, Hawaii";""
5;"thedevopsaddict";"2020-02-08 23:41:45";"Long time ago, I was filming teaser and short clip for my friend Mat Joly... These folks, musicians are for sure th… https://t.co/6Wv3D2nBsH";0;"Montreal";""
6;"DigitalBankingT";"2020-02-08 23:43:25";"Open Banking Is Promoting Fintech Adoption and Digital Transformation: Report - Crowdfund Insider… https://t.co/Q1tOBvoGDu";0;"Vienna, Austria";""
7;"33odavis";"2020-02-08 23:43:42";"Poor dog deserves better.. sorry #swagger";0;"ohio";""
8;"shinobidanuvem";"2020-02-08 23:46:32";"Finalmente consegui estrutuar meu projeto para atualizar ambiente de produção com o git  seguindo o git flow… https://t.co/JE7ZN09N8f";0;"error-404";""
9;"seidewitz";"2020-02-08 23:46:52";"RT @manasbajaj: If you are excited about #MBSE #software #digitalthread #programming #data #integration #apis, we have 2 awesome openings i…";0;"Washington, DC";""
10;"ITjob8";"2020-02-08 23:46:53";"Besoin d'aide pour une Task? Sélectionnez-moi sur TaskRabbit et bénéficiez d'une réduction de €10 sur votre premièr… https://t.co/Hp2xUdJ3zq";0;"";""
11;"clairebotai";"2020-02-08 23:46:58";"RT @manasbajaj: If you are excited about #MBSE #software #digitalthread #programming #data #integration #apis, we have 2 awesome openings i…";0;"";""
12;"ttavlas";"2020-02-08 23:47:08";"Open Banking Is Promoting Fintech Adoption and Digital Transformation: Report - Crowdfund Insider -… https://t.co/luBJJt2FcN";0;"Wien- Austria";""
13;"programminbuddy";"2020-02-08 23:47:27";"RT @manasbajaj: If you are excited about #MBSE #software #digitalthread #programming #data #integration #apis, we have 2 awesome openings i…";0;"United States";""
14;"StackDevJobs";"2020-02-08 23:50:10";"ChipSoft (@ChipSoft) is hiring https://t.co/JVkiRXYg9R #wpf #microservices";0;"";""
15;"algoworks";"2020-02-08 23:51:00";"Securing #DevOps Environments Is Key, Public Key Infrastructure, to Be Precise
https://t.co/OJuaT9gNSR
#Security";0;"Sunnyvale, CA 94086";""
16;"riferrei";"2020-02-08 23:52:33";"RT @qconnewyork: Discover the key characteristics of @confluentcloud, a fully managed Apache Kafka service, which removes the burden of its…";0;"Raleigh, NC";""
17;"serverninjas";"2020-02-08 23:52:46";"RT @mikefrobbins: Using #Powershell to automate Linux, macOS, and Windows processes | https://t.co/ga0M8ryV2l - https://t.co/djzMrukB8L #De…";0;"Ankeny, Iowa";""
18;"floridarussian";"2020-02-08 23:53:19";"Opportunities for Development Associate (Civil Engineer Real Estate Construction Mgmt)
#developer #devops #Lakeland… https://t.co/NffPq70OWm";0;"Florida, USA";""
19;"floridarussian";"2020-02-08 23:55:07";"Opportunities for Strong Angular (and AngularJS) UI senior developer
#developer #developerjobs #devops #GlenAllen… https://t.co/ej0BURBUeD";0;"Florida, USA";""
20;"MicroFocusDev";"2020-02-09 00:00:00";"Connect API Tests to PostgreSQL in UFT One -- This blog post focuses on using standard database activities with Pos… https://t.co/5ZGXc3RTRA";0;"Worldwide";""
21;"wynandbooysen";"2020-02-09 00:00:02";"RT @MicroFocusDev: Connect API Tests to PostgreSQL in UFT One -- This blog post focuses on using standard database activities with PostgreS…";0;"South Africa";""
22;"peerxp";"2020-02-09 00:00:06";"RT @MicroFocusDev: Connect API Tests to PostgreSQL in UFT One -- This blog post focuses on using standard database activities with PostgreS…";0;"Bengaluru, India";""
23;"tkunze";"2020-02-09 00:00:10";"#Microservices when operated at scale will interact in spontaneous ways and produce emergent behaviors. Learn how a… https://t.co/Yh1aA8KLdn";0;"Menlo Park, CA";""
24;"SeanHandforth";"2020-02-09 00:00:51";"Aavalar is hiring!  Apply now for the position of Software Dev/DevOps 
#consultants #devops #aavalar… https://t.co/dkXOVuspSh";0;"";""
25;"Cloudnative__";"2020-02-09 00:02:28";"Real World Scenario Testing using Azure DevOps and automated UI tests https://t.co/cbaKXhQT99  #Devops";0;"";""
26;"ThatManBush";"2020-02-09 00:03:37";"RT @DEVOPSINST: We’re thrilled to announce the revamp of the Global Education Partner Program! It now offers the #HumansOfDevOps the most u…";0;"";""
27;"3mm4h3ff";"2020-02-09 00:06:54";"Are you obsessed with the security of software or anything #DevOps #AppSec related!? Then you should get following… https://t.co/JaEUymlouu";0;"Ireland";""
28;"verbalr_global";"2020-02-09 00:07:04";"Open Banking Is Promoting Fintech Adoption and Digital Transformation: Report https://t.co/SOhgLtL7eJ #Fintech… https://t.co/abYboHTRY3";0;"";""
29;"fiqus";"2020-02-09 00:08:57";"RT @InfoQ: Are you looking for advice on testing #microservices? Learn more about core use cases, approaches to testing, and how observabil…";0;"iPhone: 51.352940,0.109975";""
30;"Rosenchild";"2020-02-09 00:09:05";"RT @IBMAnalytics: #DataOps vs. #DevOps - both drive operational efficiency but how do they compare in terms of objectives, benefits and tan…";0;"New York, NY";""
